geometry,omega,abs_S_HH_minus_1,phase_S_HH
schwarzschild,0.05,2.220446049250313e-16,-3.026275120352518
schwarzschild,0.1,0.0,-2.7334210066944005
schwarzschild,0.15,0.0,-2.7878244623293957
schwarzschild,0.18,2.220446049250313e-16,-3.1305029419355543
kerr,0.05,1.1102230246251565e-16,-2.7605330664606305
kerr,0.1,0.0,-2.799883223166467
kerr,0.15,0.0,3.127506168810903
kerr,0.18,2.220446049250313e-16,2.5975357620379267
